airportName,city,country,airportCode,lat,long
Santiago Del Estero,Santiago Del Estero,Argentina,SDE,-27.765617,-64.310122
La Rioja,La Rioja,Argentina,IRJ,-29.381636,-66.795839
Teniente Benjamin Matienzo,Tucuman,Argentina,TUC,-26.840861,-65.104944
San Juan,San Julian,Argentina,UAQ,-31.571472,-68.418194
Rio Cuarto Area De Material,Rio Cuarto,Argentina,RCU,-33.085128,-64.261314
Villa Dolores,Villa Dolores,Argentina,VDR,-31.945183,-65.146283
San Luis,San Luis,Argentina,LUQ,-33.273192,-66.356422
Corrientes,Corrientes,Argentina,CNQ,-27.445503,-58.761864
Resistencia,Resistencia,Argentina,RES,-27.449986,-59.056125
Formosa,Formosa,Argentina,FMA,-26.212722,-58.228111
Cataratas Del Iguazu,Iguazu Falls,Argentina,IGR,-25.737281,-54.473444
Paso De Los Libres,Paso De Los Libres,Argentina,AOL,-29.689425,-57.152078
Posadas,Posadas,Argentina,PSS,-27.385839,-55.970728
Salta,Salta,Argentina,SLA,-24.855978,-65.486169
Jujuy,Jujuy,Argentina,JUJ,-24.392778,-65.097778
Oran,Oran,Argentina,ORA,-23.152779,-64.32917
El Bolson,El Bolson,Argentina,EHL,-41.943189,-71.532289
Comodoro Rivadavia,Comodoro Rivadavia,Argentina,CRD,-45.785347,-67.465508
Esquel,Esquel,Argentina,EQS,-42.90795,-71.139472
Almirante Zar,Trelew,Argentina,REL,-43.2105,-65.270319
Gobernador Castello,Viedma,Argentina,VDM,-40.869222,-63.000389
El Tehuelche,Puerto Madryn,Argentina,PMY,-42.759161,-65.102725
Puerto Deseado,Puerto Deseado,Argentina,PUD,-47.735292,-65.904097
Rio Grande,Rio Grande,Argentina,RGA,-53.777667,-67.749389
Rio Gallegos,Rio Gallegos,Argentina,RGL,-51.608875,-69.312636
Ushuaia Malvinas Argentinas,Ushuaia,Argentina,USH,-54.843278,-68.29575
San Julian,San Julian,Argentina,ULA,-49.306775,-67.802589
Perito Moreno,Perito Moreno,Argentina,PMQ,-46.537911,-70.978689
Santa Cruz,Santa Cruz,Argentina,RZA,-50.01655,-68.579197
Comandante Espora,Bahia Blanca,Argentina,BHI,-38.724967,-62.169317
Mar Del Plata,Mar Del Plata,Argentina,MDQ,-37.934167,-57.573333
Presidente Peron,Neuquen,Argentina,NQN,-38.949,-68.155711
Santa Rosa,Santa Rosa,Argentina,RSA,-36.588322,-64.275694
San Carlos De Bariloche,San Carlos De Bariloche,Argentina,BRC,-41.151172,-71.157542
Tandil,Tandil,Argentina,TDL,-37.237392,-59.227922
Villa Gesell,Villa Gesell,Argentina,VLG,-37.235408,-57.029239
Aviador C Campos,San Martin Des Andes,Argentina,CPC,-40.075383,-71.137294
Ministro Pistarini,Buenos Aires,Argentina,EZE,-34.822222,-58.535833
El Calafate,El Calafate,Argentina,FTE,-50.280322,-72.053103
Santa Teresita Airport,Santa Teresita,Argentina,SST,-36.542317,-56.721756
Gobernador Gregores Airport,Gobernador Gregores,Argentina,GGS,-48.7831,-70.15
Antoine De St Exupery Airport,San Antonio Oeste,Argentina,OES,-40.7512,-65.0343
Las Heras Airport,Las Heras,Argentina,LHS,-46.533056,-68.951111
General Enrique Mosconi Airport,Tartagal,Argentina,TTG,-22.619167,-63.793189
Necochea Airport,Necochea,Argentina,NEC,-38.483056,-58.817222
Lago Argentino Airport,El Calafate,Argentina,ING,-50.3361,-72.2486
ZAPALA,ZAPALA,Argentina,APZ,-38.9755,-70.113581
Rincon de los Sauces,Rincon de los Sauces,Argentina,RDS,-37.390617,-68.904211
Colonia Sarmiento,Colonia Sarmiento,Argentina,OLN,-45.6,-69.083333
Rio Turbio,Rio Turbio,Argentina,RYO,-51.533333,-72.3
Caleta Olivia,Caleta Olivia,Argentina,CVI,-46.4333,-67.5333
Sierra Grande,Sierra Grande,Argentina,SGV,-41.592,-65.341
Ingeniero Jacobacci,Ingeniero Jacobacci,Argentina,IGB,-41.3,-69.5833
El Chalten,El Chalten,Argentina,ELX,-49.328889,-72.93
Aeropuerto Internacional Valle del Conlara,Merlo,Argentina,RLO,-32.349803,-65.179932
Alto Rio Senguer Airport,Alto Rio Senguer,Argentina,ARR,-45.016667,-70.816667
Jose de San Martin Airport,Jose de San Martin,Argentina,JSM,-44.016667,-70.466667
Gilberto Lavaque,Cafayate,Argentina,CFX,-26.06245,-65.932095
Termal,Rio Hondo,Argentina,RHD,-27.509946,-64.936666
Zvartnots,Yerevan,Armenia,EVN,40.147275,44.395881
Gyumri,Gyumri,Armenia,LWN,40.750369,43.859342
Reina Beatrix Intl,Oranjestad,Aruba,AUA,12.501389,-70.015221
Maitland Airport,Maitland,Australia,MTL,-32.7033,151.488
Mudgee Airport,Mudgee,Australia,DGE,-32.5625,149.611
Whitsunday Airstrip,Airlie Beach,Australia,WSY,-20.276,148.755
Scone Airport,Scone,Australia,NSO,-32.0372,150.832
Cessnock Airport,Cessnock,Australia,CES,-32.7875,151.342
Orchid Beach,Fraser Island,Australia,OKB,-24.95841,153.3145
Bamaga Injinoo,Amberley,Australia,ABM,-10.950833,142.459444
Alice Springs,Alice Springs,Australia,ASP,-23.806667,133.902222
Brisbane Intl,Brisbane,Australia,BNE,-27.384167,153.1175
Gold Coast,Coolangatta,Australia,OOL,-28.164444,153.504722
Cairns Intl,Cairns,Australia,CNS,-16.885833,145.755278
Charleville,Charlieville,Australia,CTL,-26.413334,146.2625
Mount Isa,Mount Isa,Australia,ISA,-20.663889,139.488611
Sunshine Coast,Maroochydore,Australia,MCY,-26.603333,153.091111
Mackay,Mackay,Australia,MKY,-21.171667,149.179722
Proserpine Whitsunday Coast,Prosserpine,Australia,PPP,-20.495,148.552222
Rockhampton,Rockhampton,Australia,ROK,-23.381944,150.475278
Townsville,Townsville,Australia,TSV,-19.2525,146.765278
Weipa,Weipa,Australia,WEI,-12.678611,141.925278
Avalon,Avalon,Australia,AVV,-38.039444,144.469444
Albury,Albury,Australia,ABX,-36.067778,146.958056
Melbourne Essendon,Melbourne,Australia,MEB,-37.728056,144.901944
Hobart,Hobart,Australia,HBA,-42.836111,147.510278
Launceston,Launceston,Australia,LST,-41.545278,147.214167
Melbourne Moorabbin,Melbourne,Australia,MBW,-37.975833,145.102222
Melbourne Intl,Melbourne,Australia,MEL,-37.673333,144.843333
Adelaide Intl,Adelaide,Australia,ADL,-34.945,138.530556
Perth Jandakot,Perth,Australia,JAD,-32.0975,115.881111
Karratha,Karratha,Australia,KTA,-20.712222,116.773333
Kalgoorlie Boulder,Kalgoorlie,Australia,KGI,-30.789444,121.461667
Kununurra,Kununurra,Australia,KNX,-15.778056,128.7075
Learmonth,Learmonth,Australia,LEA,-22.235556,114.088611
Port Hedland Intl,Port Hedland,Australia,PHE,-20.377778,118.626389
Perth Intl,Perth,Australia,PER,-31.940278,115.966944
Woomera,Woomera,Australia,UMR,-31.144167,136.816944
Sydney Bankstown,Sydney,Australia,BWU,-33.924444,150.988333
Canberra,Canberra,Australia,CBR,-35.306944,149.195
Coffs Harbour,Coff's Harbour,Australia,CFS,-30.320556,153.116389
Camden,Camden,Australia,CDU,-34.040278,150.687222
Dubbo,Dubbo,Australia,DBO,-32.216667,148.574722
Richmond,Richmond,Australia,RCM,-33.600556,150.780833
Sydney Intl,Sydney,Australia,SYD,-33.946111,151.177222
Tamworth,Tamworth,Australia,TMW,-31.083889,150.846667
Wagga Wagga,Wagga Wagga,Australia,WGA,-35.165278,147.466389
Emerald,Emerald,Australia,EMD,-23.5675,148.179167
Darwin Intl,Darwin,Australia,DRW,-12.4083333,130.87266
Ayers Rock,Uluru,Australia,AYQ,-25.186111,130.975556
Kingscote Airport,Kingscote,Australia,KGC,-35.713889,137.521389
Hervey Bay Airport,Hervey Bay,Australia,HVB,-25.318889,152.880278
Armidale,Armidale,Australia,ARM,-30.528056,151.617222
Blackall,Blackall,Australia,BKQ,-24.427778,145.428611
Bundaberg,Bundaberg,Australia,BDB,-24.903889,152.318611
Hayman Island Airport,Hayman Island,Australia,HIS,-20.066668,148.86667
Thangool,Biloela,Australia,THG,-24.493889,150.576111
Ballina Byron Gateway,Ballina Byron Bay,Australia,BNK,-28.833889,153.5625
Broome,Broome,Australia,BME,-17.8,122.2
Newcastle Airport,Newcastle,Australia,NTL,-32.78,151.83
Goulburn Airport,Goulburn,Australia,GUL,-34.8103,149.726
Albany Airport,Albany,Australia,ALH,-34.9433,117.809
Argyle Airport,Argyle,Australia,GYL,-16.6369,128.451
Aurukun Airport,Aurukun,Australia,AUU,-13.3539,141.721
Barcaldine Airport,Barcaldine,Australia,BCI,-23.5653,145.307
Badu Island Airport,Badu Island,Australia,BDD,-10.15,141.175
Birdsville Airport,Birdsville,Australia,BVI,-25.8975,139.348
Broken Hill Airport,Broken Hill,Australia,BHQ,-32.0014,141.472
Hamilton Island Airport,Hamilton Island,Australia,HTI,-20.3581,148.952
Bedourie Airport,Bedourie,Australia,BEU,-24.3461,139.46
Bourke Airport,Bourke,Australia,BRK,-30.0392,145.952
Burketown Airport,Burketown,Australia,BUC,-17.7486,139.534
Boigu Airport,Boigu,Australia,GIC,-9.23278,142.218
Oakey Airport,Oakey,Australia,OKY,-27.411389,151.735278
Boulia Airport,Boulia,Australia,BQL,-22.9133,139.9
Bathurst Airport,Bathurst,Australia,BHS,-33.4094,149.652
Blackwater Airport,Blackwater,Australia,BLT,-23.6031,148.807
Carnarvon Airport,Carnarvon,Australia,CVQ,-24.8806,113.672
Cobar Airport,Cobar,Australia,CAZ,-31.5383,145.794
Coober Pedy Airport,Coober Pedy,Australia,CPD,-29.04,134.721
Coconut Island Airport,Coconut Island,Australia,CNC,-10.05,143.07
Cloncurry Airport,Cloncurry,Australia,CNJ,-20.6686,140.504
Ceduna Airport,Ceduna,Australia,CED,-32.1306,133.71
Cooktown Airport,Cooktown,Australia,CTN,-15.4447,145.184
Cunnamulla Airport,Cunnamulla,Australia,CMA,-28.03,145.622
Coonamble Airport,Coonamble,Australia,CNB,-30.9833,148.376
Coen Airport,Coen,Australia,CUQ,-13.7608,143.114
Cooma Snowy Mountains Airport,Cooma,Australia,OOM,-36.3006,148.974
Doomadgee Airport,Doomadgee,Australia,DMD,-17.9403,138.822
Darnley Island Airport,Darnley Island,Australia,NLF,-9.58333,143.767
Devonport Airport,Devonport,Australia,DPO,-41.1697,146.43
Elcho Island Airport,Elcho Island,Australia,ELC,-12.0194,135.571
Esperance Airport,Esperance,Australia,EPR,-33.6844,121.823
Flinders Island Airport,Flinders Island,Australia,FLS,-40.0917,147.993
Geraldton Airport,Geraldton,Australia,GET,-28.7961,114.707
Gladstone Airport,Gladstone,Australia,GLT,-23.8697,151.223
Groote Eylandt Airport,Groote Eylandt,Australia,GTE,-13.975,136.46
Griffith Airport,Griffith,Australia,GFF,-34.2508,146.067
Horn Island Airport,Horn Island,Australia,HID,-10.5864,142.29
Hooker Creek Airport,Hooker Creek,Australia,HOK,-18.3367,130.638
Mount Hotham Airport,Mount Hotham,Australia,MHU,-37.0475,147.334
Hughenden Airport,Hughenden,Australia,HGD,-20.815,144.225
Julia Creek Airport,Julia Creek,Australia,JCK,-20.6683,141.723
Kalbarri Airport,Kalbarri,Australia,KAX,-27.69,114.262
King Island Airport,King Island,Australia,KNS,-39.8775,143.878
Kalkgurung Airport,Kalkgurung,Australia,KFG,-17.4319,130.808
Karumba Airport,Karumba,Australia,KRB,-17.4567,140.83
Kowanyama Airport,Kowanyama,Australia,KWM,-15.4856,141.751
Kubin Airport,Kubin,Australia,KUG,-10.225,142.218
Leonora Airport,Leonora,Australia,LNO,-28.8781,121.315
Lake Evella Airport,Lake Evella,Australia,LEL,-12.4989,135.806
Lord Howe Island Airport,Lord Howe Island,Australia,LDH,-31.5383,159.077
Lockhart River Airport,Lockhart River,Australia,IRG,-12.7869,143.305
Lismore Airport,Lismore,Australia,LSY,-28.8303,153.26
Lightning Ridge Airport,Lightning Ridge,Australia,LHG,-29.4567,147.984
Longreach Airport,Longreach,Australia,LRE,-23.4342,144.28
Leinster Airport,Leinster,Australia,LER,-27.8433,120.703
Laverton Airport,Laverton,Australia,LVO,-28.6136,122.424
Mabuiag Island Airport,Mabuiag Island,Australia,UBB,-9.95,142.183
Meekatharra Airport,Meekatharra,Australia,MKR,-26.6117,118.548
Merimbula Airport,Merimbula,Australia,MIM,-36.9086,149.901
Milingimbi Airport,Milingimbi,Australia,MGT,-12.0944,134.894
Maningrida Airport,Maningrida,Australia,MNG,-12.0561,134.234
McArthur River Mine Airport,McArthur River Mine,Australia,MCV,-16.4425,136.084
Mildura Airport,Mildura,Australia,MQL,-34.2292,142.086
Mount Magnet Airport,Mount Magnet,Australia,MMG,-28.1161,117.842
Moree Airport,Moree,Australia,MRZ,-29.4989,149.845
Moranbah Airport,Moranbah,Australia,MOV,-22.0578,148.077
Moruya Airport,Moruya,Australia,MYA,-35.8978,150.144
Mount Gambier Airport,Mount Gambier,Australia,MGB,-37.7456,140.785
Mornington Island Airport,Mornington Island,Australia,ONG,-16.6625,139.178
Murray Island Airport,Murray Island,Australia,MYI,-9.91667,144.055
Maryborough Airport,Maryborough,Australia,MBH,-25.5133,152.715
Narrandera Airport,Narrandera,Australia,NRA,-34.7022,146.512
Narrabri Airport,Narrabri,Australia,NAA,-30.3192,149.827
Normanton Airport,Normanton,Australia,NTN,-17.6836,141.07
Newman Airport,Newman,Australia,ZNE,-23.4178,119.803
Olympic Dam Airport,Olympic Dam,Australia,OLP,-30.485,136.877
Port Augusta Airport,Argyle,Australia,PUG,-32.506944,137.716667
Palm Island Airport,Palm Island,Australia,PMK,-18.7553,146.581
Paraburdoo Airport,Paraburdoo,Australia,PBO,-23.1711,117.745
Gove Airport,Gove,Australia,GOV,-12.2694,136.818
Parkes Airport,Parkes,Australia,PKE,-33.1314,148.239
Port Lincoln Airport,Port Lincoln,Australia,PLO,-34.6053,135.88
Pormpuraaw Airport,Pormpuraaw,Australia,EDR,-14.8967,141.609
Port Macquarie Airport,Port Macquarie,Australia,PQQ,-31.4358,152.863
Portland Airport,Portland,Australia,PTJ,-38.3181,141.471
Quilpie Airport,Quilpie,Australia,ULP,-26.6122,144.253
Ramingining Airport,Ramingining,Australia,RAM,-12.3564,134.898
Roma Airport,Roma,Australia,RMA,-26.545,148.775
St George Airport,St George,Australia,SGO,-28.0497,148.595
Shark Bay Airport,Shark Bay,Australia,MJK,-25.8939,113.577
Saibai Island Airport,Saibai Island,Australia,SBR,-9.37833,142.625
Strahan Airport,Strahan,Australia,SRN,-42.155,145.292
Thargomindah Airport,Thargomindah,Australia,XTG,-27.9864,143.811
Tennant Creek Airport,Tennant Creek,Australia,TCA,-19.6344,134.183
Victoria River Downs Airport,Victoria River Downs,Australia,VCD,-16.4033,131.002
Warraber Island Airport,Sue Islet,Australia,SYU,-10.2083,142.825
Windorah Airport,Windorah,Australia,WNR,-25.4131,142.667
Whyalla Airport,Whyalla,Australia,WYA,-33.0589,137.514
Wiluna Airport,Wiluna,Australia,WUN,-26.6292,120.221
Wollongong Airport,Wollongong,Australia,WOL,-34.5611,150.789
Winton Airport,Winton,Australia,WIN,-22.3636,143.086
Wynyard Airport,Burnie,Australia,BWT,-40.9989,145.731
Yorke Island Airport,Yorke Island,Australia,OKR,-9.75703,143.411
Yam Island Airport,Yam Island,Australia,XMY,-9.90111,142.776
Mount Keith,Mount Keith,Australia,WME,-27.286389,120.554722
Nowra Airport,Nowra,Australia,NOA,-34.9489,150.537
Tindal Airport,Katherine,Australia,KTR,-14.5211,132.378
Taree Airport,Taree,Australia,TRO,-31.8886,152.514
Orange Airport,Orange,Australia,OAG,-33.3817,149.133
Grafton Airport,Grafton,Australia,GFN,-29.7594,153.03
Toowoomba,Toowoomba,Australia,TWB,-27.542778,151.916389
Barrow Island Airport,Barrow Island,Australia,BWB,-20.798,115.406
Morawa Airport,Morawa,Australia,MWB,-29.211,116.009
Exmouth Airport,Exmouth,Australia,EXM,-21.933,114.128
Derby Airport,Derby,Australia,DRB,-17.39,123.68
Walgett Airport,Walgett,Australia,WGE,-30.0318,148.1222
Bathurst Island Airport,Bathurst Island,Australia,BRT,-11.769167,130.619722
Dunk Island Airport,Dunk Island,Australia,DKI,-17.939722,146.141944
Lizard Island Airport,Lizard Island,Australia,LZR,-14.673056,145.454444
Hamilton Airport,Hamilton,Australia,HLT,-37.648889,142.065278
Halls Creek Airport,Halls Creek,Australia,HCQ,-18.233889,127.669722
Fitzroy Crossing Airport,Fitzroy Crossing,Australia,FIZ,-18.178,125.591
Ravensthorpe Airport,Ravensthorpe,Australia,RVT,-33.797222,120.208056
Heron Island,Heron Island,Australia,HRN,-23.441667,151.911389
Lady Elliot Island,Lady Elliot Island,Australia,LYT,-24.113333,152.715278
Orpheus Island,Orpheus Island,Australia,ORS,-18.634,146.5
Geelong Airport,Geelong,Australia,GEX,-38.225,144.333
Penneshaw Airport,Penneshaw,Australia,PEA,-34.75,137.933
Cooinda,Cooinda,Australia,CDA,-12.9033,132.532
Jabiru,Jabiru,Australia,JAB,-12.6571,132.893
Telfer Airport,Telfer,Australia,TEF,-21.713057,122.21222
Renmark,Renmark,Australia,RMK,-34.118,140.404
Mallacoota Airport,Mallacoota,Australia,XMC,-37.598301,149.720001
Yuendumu ,Yuendumu ,Australia,YUE,-22.254167,131.781944
Great Keppel Island,Great Keppel Island,Australia,GKL,-23.186,150.943
Roper Bar,Roper Bar,Australia,RPB,-14.73457,134.5252
Innisfail,Innisfail,Australia,IFL,-17.55908,146.01123
Moomba,Moomba,Australia,MOO,-28.1,140.2
Onslow ,Onslow,Australia,ONS,-21.667,115.116
Theodore,Theodore,Australia,TDR,-24.986737,150.093112
Chinchilla,Chinchilla,Australia,CCL,-26.769444,150.616667
Shute Harbour,Shute Harbour,Australia,JHQ,-20.278299,148.757004
Shepparton,Shepparton,Australia,SHT,-36.428902,145.393005
Temora,Temora,Australia,TEM,-34.4248,147.5104
Gayndah,Gayndah,Australia,GAH,-25.61528,151.62083
Wilcannia,Wilcannia,Australia,WIO,-31.51749992,143.3789978
Belmont Airport,Lake Macquarie,Australia,BEO,-33.066667,151.648333
Brampton Island,Brampton Island,Australia,BMP,-20.8044444,149.2794444
Brusselton,Brusselton,Australia,BQB,-33.687222,115.400278
Inverell,Inverell,Australia,IVR,-29.888333,151.144167
Glen Innes,Glen Innes,Australia,GLI,-29.675,151.69
Dave Forest Airport,Cloudbreak,Australia,KFE,-22.291945,119.437225
Solomon Airport,Solomon,Australia,SLJ,-22.255,117.85
Coonabarabran,Coonabarabran,Australia,COJ,-31.337221,149.27194
Bairnsdale Airport,Bairnsdale,Australia,BSJ,-37.8875,147.567778
Prominent Hill,Prominent Hill,Australia,PXH,-29.716667,135.521667
Graz,Graz,Austria,GRZ,46.991067,15.439628
Innsbruck,Innsbruck,Austria,INN,47.260219,11.343964
Linz,Linz,Austria,LNZ,48.233219,14.187511
Salzburg,Salzburg,Austria,SZG,47.793304,13.004333
Schwechat,Vienna,Austria,VIE,48.110278,16.569722
Hohenems,Hohenems,Austria,HOJ,47.385,9.7
Woerthersee International Airport,Klagenfurt,Austria,KLU,46.642514,14.337739
Hauptbahnhof,Salzburg,Austria,ZSB,47.813056,13.046667
Westbahnhoff,Vienna,Austria,XWW,48.196667,16.337778
Heydar Aliyev,Baku,Azerbaijan,GYD,40.4675,50.046667
Heydar Aliyev,Baku,Azerbaijan,BAK,40.4675,50.046667
Nakhchivan Airport,Nakhchivan,Azerbaijan,NAJ,39.1888,45.4584
Ganja Airport,Ganja,Azerbaijan,KVD,40.7377,46.3176
Lankaran International Airport,Lankaran,Azerbaijan,LLK,38.746389,48.817778
Qabala Airport,Qabala,Azerbaijan,GBB,40.826667,47.7125
Zaqatala International Airport,Zaqatala,Azerbaijan,ZTU,41.562222,46.667222
Fresh Creek,Andros Town,Bahamas,ASD,24.698283,-77.795611
Marsh Harbour,Marsh Harbor,Bahamas,MHH,26.511406,-77.083472
San Andros,San Andros,Bahamas,SAQ,25.053814,-78.048997
Spring Point,Spring Point,Bahamas,AXP,22.441828,-73.970858
Treasure Cay,Treasure Cay,Bahamas,TCB,26.745336,-77.391269
Chub Cay,Chub Cay,Bahamas,CCZ,25.417108,-77.88085
South Bimini,Alice Town,Bahamas,BIM,25.699881,-79.264656
Exuma Intl,Great Exuma,Bahamas,GGT,23.562631,-75.877958
North Eleuthera,North Eleuthera,Bahamas,ELH,25.474861,-76.683489
Governors Harbour,Governor's Harbor,Bahamas,GHB,25.284706,-76.331011
Rock Sound,Rock Sound,Bahamas,RSD,24.8917,-76.177739
Grand Bahama Intl,Freeport,Bahamas,FPO,26.558686,-78.695553
Matthew Town,Matthew Town,Bahamas,IGA,20.975,-73.666862
Deadmans Cay,Dead Man's Cay,Bahamas,LGI,23.179014,-75.093597
Stella Maris,Stella Maris,Bahamas,SML,23.581444,-75.270475
Mayaguana,Mayaguana,Bahamas,MYG,22.379528,-73.0135
Lynden Pindling Intl,Nassau,Bahamas,NAS,25.038958,-77.466231
San Salvador,Cockburn Town,Bahamas,ZSA,24.063275,-74.523967
Bimini North Seaplane Base,Bimini,Bahamas,NSB,25.767,-79.25
Nassau Paradise Island Airport,Nassau,Bahamas,PID,25.083,-77.3
Colonel Hill Airport,Colonel Hill,Bahamas,CRI,22.745561,-74.182353
New Bight Airport,Cat Island,Bahamas,CAT,24.315292,-75.452331
Arthurs Town Airport,Arthur's Town,Bahamas,ATC,24.629417,-75.673775
